,,,,,,,,,,,,,,Buy,,,,,,,,,,,,,Sell,,,,,,,,,,,
,nifty_buy1.3,nifty_buy1.5,nifty_buy1.7,nifty_buy3.3,nifty_buy3.5,nifty_buy3.7,nifty_buy5.3,nifty_buy5.5,nifty_buy5.7,nifty1,nifty3,nifty5,Close, ret1.3 , ret1.5 , ret1.7 , ret3.3 , ret3.5 , ret3.7 , ret5.3 , ret5.5 , ret5.7 ,ret1,ret3,ret5,, ret1.3 , ret1.5 , ret1.7 , ret3.3 , ret3.5 , ret3.7 , ret5.3 , ret5.5 , ret5.7 ,ret1,ret3,ret5
39,1,1,0,1,1,0,1,0,0,0,0,0,11724.75,-0.001,-0.001,0,-0.019,-0.019,0,-0.036,0,0,0,0,0,,0,0,0.001,0,0,0.02,0,0.037,0.037,,,
40,1,1,0,1,1,0,1,1,0,1,0,1,11712.25,-0.01,-0.01,0,-0.03,-0.03,0,-0.037,-0.037,0,-0.01,0,0,,0,0,0.01,0,0,0.031,0,0,0.038,,,
41,0,1,1,0,1,1,0,0,0,1,0,1,11598.25,0,-0.009,-0.009,0,-0.026,-0.026,0,0,0,-0.009,0,0,,0.009,0,0,0.026,0,0,0.04,0.04,0.04,,,
42,1,0,0,1,0,0,0,0,0,1,0,1,11497.9,-0.012,0,0,-0.019,0,0,0,0,0,-0.012,0,0,,0,0.012,0.012,0,0.019,0.019,0.025,0.025,0.025,,,
43,1,0,1,1,0,1,0,0,0,1,1,1,11359.45,-0.005,0,-0.005,-0.019,0,-0.019,0,0,0,-0.005,-0.019,0,,0,0.005,0,0,0.019,0,0.018,0.018,0.018,,,
44,1,1,0,1,1,0,1,0,0,1,1,1,11301.8,-0.002,-0.002,0,-0.007,-0.007,0,-0.004,0,0,-0.002,-0.007,0,,0,0,0.002,0,0,0.007,0,0.004,0.004,,,
45,0,1,0,0,1,0,0,1,0,1,1,1,11278.9,0,-0.012,0,0,-0.011,0,0,0.011,0,-0.012,-0.011,0,,0.012,0,0.012,0.011,0,0.011,-0.011,0,-0.011,,,
46,0,1,0,0,1,1,0,0,0,1,1,1,11148.2,0,0.007,0,0,0.01,0.01,0,0,0,0.007,0.01,0,,-0.007,0,-0.007,-0.01,0,0,-0.057,-0.057,-0.057,,,
47,0,1,0,0,1,1,0,0,0,1,1,1,11222.05,0,-0.006,0,0,0.016,0.016,0,0,0,-0.006,0.016,0,,0.006,0,0.006,-0.016,0,0,-0.042,-0.042,-0.042,,,
48,1,0,1,1,0,1,1,0,1,1,1,1,11157,0.009,0,0.009,0.06,0,0.06,0.052,0,0.052,0.009,0.06,0,,0,-0.009,0,0,-0.057,0,0,-0.049,0,,,
49,1,0,1,1,0,1,1,0,0,1,1,1,11257.1,0.013,0,0.013,0.04,0,0.04,0.036,0,0,0.013,0.04,0,,0,-0.013,0,0,-0.039,0,0,-0.034,-0.034,,,
50,0,1,1,0,0,1,0,0,0,1,1,1,11407.15,0,0.037,0.037,0,0,0.029,0,0,0,0.037,0.029,0,,-0.036,0,0,-0.028,-0.028,0,-0.037,-0.037,-0.037,,,
51,0,1,1,0,1,1,0,0,0,1,1,1,11828.25,0,-0.01,-0.01,0,-0.014,-0.014,0,0,0,-0.01,-0.014,0,,0.01,0,0,0.015,0,0,-0.008,-0.008,-0.008,,,
52,0,1,1,0,1,1,0,1,0,1,1,1,11709.1,0,0.002,0.002,0,0.012,0.012,0,0.019,0,0.002,0.012,0,,-0.002,0,0,-0.011,0,0,-0.018,0,-0.018,,,
53,0,1,1,0,0,0,0,0,0,1,1,1,11737.9,0,-0.007,-0.007,0,0,0,0,0,0,-0.007,0.016,0,,0.007,0,0,-0.016,-0.016,-0.016,-0.01,-0.01,-0.01,,,
54,1,0,0,1,0,0,1,0,0,1,1,1,11657.05,0.016,0,0,0.023,0,0,0.025,0,0,0.016,0.023,0,,0,-0.016,-0.016,0,-0.023,-0.023,0,-0.024,-0.024,,,
55,1,1,1,0,1,1,0,0,0,1,1,1,11844.1,0.007,0.007,0.007,0,0.001,0.001,0,0,0,0.007,0.001,0,,0,0,0,-0.001,0,0,-0.007,-0.007,-0.007,,,
56,1,1,1,1,1,1,1,1,0,1,1,1,11924.75,0,0,0,0.002,0.002,0.002,0.014,0.014,0,0,0.002,0,,0,0,0,0,0,0,0,0,-0.014,,,
57,0,1,1,0,1,0,0,0,0,1,1,1,11928.75,0,-0.006,-0.006,0,0,0,0,0,0,-0.006,0,0,,0.006,0,0,0,0,0,-0.008,-0.008,-0.008,,,
58,0,0,1,0,0,0,0,0,0,1,1,1,11861.1,0,0,0.007,0,0,0,0,0,0,0.007,0.019,-1,,-0.007,-0.007,0,-0.019,-0.019,-0.019,0.001,0.001,0.001,,,
59,1,1,0,1,1,0,1,0,0,1,1,1,11945.9,-0.002,-0.002,0,0.006,0.006,0,-0.006,0,0,-0.002,0.006,-1,,0,0,0.002,0,0,-0.006,0,0.006,0.006,,,
60,1,1,0,1,1,0,1,0,0,1,1,1,11922.8,0.014,0.014,0,-0.007,-0.007,0,0,0,0,0.014,-0.007,-1,,0,0,-0.014,0,0,0.007,0,0,0,,,
61,1,1,0,0,1,0,0,0,0,1,1,1,12088.55,-0.006,-0.006,0,0,-0.018,0,0,0,0,-0.006,-0.018,-1,,0,0,0.006,0.018,0,0.018,0.01,0.01,0.01,,,
62,0,1,0,0,1,0,0,0,0,1,1,1,12021.65,0,-0.015,0,0,-0.008,0,0,0,0,-0.015,-0.008,0,,0.015,0,0.015,0.008,0,0.008,0.01,0.01,0.01,,,
63,1,0,0,1,0,1,1,0,0,0,1,0,11843.75,0.002,0,0,0.01,0,0.01,0.006,0,0,0,0.01,0,,0,-0.002,-0.002,0,-0.01,0,0,-0.006,-0.006,,,
64,1,0,0,1,0,1,1,0,1,0,1,0,11870.65,0.004,0,0,0.003,0,0.003,-0.004,0,-0.004,0,0.003,0,,0,-0.004,-0.004,0,-0.003,0,0,0.004,0,,,
65,1,0,1,0,0,1,0,0,1,0,0,0,11922.7,0.004,0,0.004,0,0,-0.001,0,0,-0.021,0,0,0,,0,-0.004,0,0.001,0.001,0,0.021,0.021,0,,,
66,1,0,1,0,0,1,0,0,1,0,1,0,11965.6,-0.005,0,-0.005,0,0,-0.012,0,0,-0.023,0,-0.012,0,,0,0.005,0,0.012,0.012,0,0.023,0.023,0,,,
67,0,1,1,0,1,1,0,1,1,1,0,1,11906.2,0,0.001,0.001,0,-0.02,-0.02,0,-0.018,-0.018,0.001,0,-1,,-0.001,0,0,0.02,0,0,0.018,0,0,,,
68,0,1,0,0,1,0,0,1,0,0,0,0,11914.05,0,-0.008,0,0,-0.019,0,0,-0.007,0,0,0,0,,0.008,0,0.008,0.019,0,0.019,0.007,0,0.007,,,
69,1,1,0,1,1,0,1,1,0,0,0,0,11823.3,-0.013,-0.013,0,-0.011,-0.011,0,-0.008,-0.008,0,0,0,0,,0,0,0.013,0,0,0.011,0,0,0.008,,,
70,1,1,0,1,1,0,1,1,0,0,0,0,11672.15,0.002,0.002,0,0.014,0.014,0,0.002,0.002,0,0,0,0,,0,0,-0.002,0,0,-0.013,0,0,-0.002,,,
71,1,1,0,0,1,0,1,1,0,0,0,0,11691.5,0,0,0,0,0.003,0,0.009,0.009,0,0,0,0,,0,0,0,-0.003,0,-0.003,0,0,-0.009,,,
72,0,0,0,0,0,0,1,0,0,0,0,0,11691.45,0,0,0,0,0,0,0.013,0,0,0,0,0,,-0.012,-0.012,-0.012,-0.001,-0.001,-0.001,0,-0.013,-0.013,,,
73,1,0,0,1,0,0,1,0,0,0,0,0,11831.75,-0.009,0,0,-0.003,0,0,0.001,0,0,0,0,0,,0,0.009,0.009,0,0.003,0.003,0,-0.001,-0.001,,,
74,1,0,0,1,0,1,1,0,1,0,1,0,11724.1,-0.002,0,0,0.011,0,0.011,0.006,0,0.006,0,0.011,0,,0,0.002,0.002,0,-0.01,0,0,-0.005,0,,,
75,1,0,0,1,0,0,1,0,1,0,1,0,11699.65,0.008,0,0,0.012,0,0,0.014,0,0.014,0,0.012,0,,0,-0.008,-0.008,0,-0.012,-0.012,0,-0.014,0,,,
76,0,0,0,0,0,0,0,0,1,0,0,0,11796.45,0,0,0,0,0,0,0,0,0.01,0,0,0,,-0.004,-0.004,-0.004,0.001,0.001,0.001,-0.01,-0.01,0,,,
77,0,0,0,0,0,1,0,1,1,0,0,0,11847.55,0,0,0,0,0,0.002,0,0.006,0.006,0,0,0,,0.001,0.001,0.001,-0.002,-0.002,0,-0.006,0,0,,,
78,0,0,0,0,1,0,0,1,1,0,1,0,11841.55,0,0,0,0,0.006,0,0,0.009,0.009,0,0.006,0,,0.004,0.004,0.004,-0.006,0,-0.006,-0.009,0,0,,,
79,0,0,0,0,0,0,0,1,1,0,1,0,11788.85,0,0,0,0,0,0,0,0.002,0.002,0,0.011,0,,-0.006,-0.006,-0.006,-0.011,-0.011,-0.011,-0.002,0,0,,,
80,0,0,0,0,0,0,0,1,1,0,1,0,11865.6,0,0,0,0,0,0,0,-0.026,-0.026,0,0.007,0,,-0.004,-0.004,-0.004,-0.007,-0.007,-0.007,0.027,0,0,,,
81,0,0,0,0,1,0,0,1,1,0,1,0,11910.3,0,0,0,0,-0.008,0,0,-0.03,-0.03,0,-0.008,0,,-0.001,-0.001,-0.001,0.008,0,0.008,0.031,0,0,,,
82,1,0,0,1,0,0,1,1,1,0,1,0,11916.75,0.003,0,0,-0.03,0,0,-0.035,-0.035,-0.035,0,-0.03,0,,0,-0.003,-0.003,0,0.031,0.031,0,0,0,,,
83,0,0,1,0,0,1,0,1,1,0,1,0,11946.75,0,0,-0.011,0,0,-0.033,0,-0.03,-0.03,0,-0.033,0,,0.011,0.011,0,0.034,0.034,0,0.031,0,0,,,
